#
#Tue Sep 10 14:25:31 EDT 2019
#
#SAO Exposure Time Calculator : v0.5
#
#transmiss /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/cptrans_zm_43_10.txt
#instmode  /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/BINOSPEC_600.tab
#objspec   /var/www/kurtz/mmtetc/cgi/TEST/ETC/Spectra/Stars/K0V.tab
#skybkgd   /var/www/kurtz/mmtetc/cgi/TEST/ETC/Bkgd/skybkgd.tab
#redshift  0.0
#abmag     19.8
#srcext    0.0
#seeing    0.75
#exptime   3600.0
#smscale   1.0
#aptype    Square
#apwidth   1.0
#apheight  1.0
#transcut  0.0
#rand      yes
#bandfilter   /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/g_filt.mag
#moonage      0.0
#airmass      1.1
#
#Wave  Spec  Noise Flux  FluxMask  SNR
#----  ----  ----- ----  --------  ---
0.3966185 167.014617055 16.7486709072 2.97513022193e-17 --  17.271687046
0.3966795 166.441110948 17.1587647442 2.75240071302e-17 --  16.8010031565
0.3967405 165.861107598 17.1821979626 2.55585589104e-17 --  16.7196225992
0.3968015 165.152976336 17.0077323945 2.99975002293e-17 --  16.8190173387
0.3968625 164.296809849 16.8651037858 2.89060392914e-17 --  16.8733276589
0.3969235 163.295254368 16.9708054653 2.57266077782e-17 --  16.666013748
0.3969845 163.019973409 17.4928051072 2.52648887789e-17 --  16.1414292826
0.3970455 163.749050638 17.8177713475 2.47811931896e-17 --  15.9179097017
0.3971065 165.483505099 18.0557197024 2.41502849174e-17 --  15.8745175141
0.3971675 167.477130036 17.9776046626 2.23312202716e-17 --  16.1355699923
0.3972285 169.475538711 18.1342704889 2.81693117762e-17 --  16.187044517
0.3972895 171.479017211 18.5519534466 2.55359898287e-17 --  16.0096547836
0.3973505 173.487736352 18.4218524492 2.85866274737e-17 --  16.3115829247
0.3974115 175.50209358  18.3812523293 2.62915798449e-17 --  16.5374228844
0.3974725 177.946031597 19.2130304466 3.07084763758e-17 --  16.0417987463
0.3975335 181.16864959  19.1218409892 2.74975317953e-17 --  16.410203704
0.3975945 185.171297061 18.2677069664 2.58677721262e-17 --  17.5569979967
0.3976555 189.531537349 18.951514749  2.68937685607e-17 --  17.3220060071
0.3977165 193.902019096 19.5562672839 2.67243211238e-17 --  17.1734280315
0.3977775 198.283175693 19.6099660236 3.51163741518e-17 --  17.5133671407
0.3978385 202.675553233 19.5867516199 3.12526867707e-17 --  17.9225408309
0.3978995 207.07971399  19.5182624138 3.399498911e-17 --  18.3762559516
0.3979605 211.54831205  20.3130580386 3.16794458126e-17 --  18.0382699656
0.3980215 216.180028546 20.7016781545 3.64417360242e-17 --  18.0871710123
0.3980825 220.974073011 20.3690291565 3.37961841113e-17 --  18.7902093256
0.3981435 225.878203417 20.3385432125 3.37525216132e-17 --  19.2360151144
0.3982045 230.794204257 20.4175416318 3.36952152153e-17 --  19.5786199473
0.3982655 235.723584504 20.3382645366 3.52723233782e-17 --  20.0747327368
0.3983265 240.667323518 20.5228038701 4.29088649061e-17 --  20.3114562071
0.3983875 245.626331716 21.0423685406 3.56497503964e-17 --  20.2181273172
0.3984485 250.551708916 20.8099447145 4.29057173634e-17 --  20.8538896052
0.3985095 255.172520044 20.471070767  4.13854687376e-17 --  21.5900660226
0.3985705 259.489468935 20.6690474147 3.71037126734e-17 --  21.745024587
0.3986315 263.552978594 20.9166743579 4.00353826676e-17 --  21.8240787995
0.3986925 267.635639922 21.2150347509 3.8420675692e-17  --  21.850472163
0.3987535 271.738716376 21.678543255  4.686407256e-17 --  21.7111111946
0.3988145 275.863721242 21.9490581903 3.73879427796e-17 --  21.7690425263
0.3988755 280.012024409 21.5454944038 4.12742919491e-17 --  22.5102772727
0.3989365 284.184360986 21.4319920181 4.1600205399e-17  --  22.9666823098
0.3989975 287.842287895 21.5046768413 4.19857818274e-17 --  23.1836763175
0.3990585 290.961946843 21.5849990306 4.32031775242e-17 --  23.3477367447
0.3991195 293.542646942 21.5992840822 4.47862682712e-17 --  23.5392421692
0.3991805 296.122121831 21.4968117245 4.76257145643e-17 --  23.859285127
0.3992415 298.723006377 21.8486828056 4.10578689412e-17 --  23.6812181786
0.3993025 301.344878826 22.3688156616 3.78255664268e-17 --  23.3335840674
0.3993635 303.986990354 22.065065968  4.25248011061e-17 --  23.8621952409
0.3994245 306.648439081 21.871821673  4.46325710176e-17 --  24.2837878111
0.3994855 309.034393888 21.8418052809 4.90887177538e-17 --  24.5063658712
0.3995465 311.051620583 21.9629301728 5.03724515792e-17 --  24.5302974779
0.3996075 312.697594159 22.0845519743 4.69663460365e-17 --  24.5242973966
0.3996685 314.263735598 21.9182810986 4.35063811686e-17 --  24.8340987408
0.3997295 315.84005967  21.9332073833 4.9265054519e-17  --  24.9416795663
0.3997905 317.425506713 22.1420416864 5.05038914634e-17 --  24.8304611215
0.3998515 319.019014203 23.0558956251 4.662633258e-17 --  23.9659803361
0.3999125 320.619116962 23.6798272226 4.10235165859e-17 --  23.451547819
0.3999735 322.186515989 22.7860977096 4.69620016757e-17 --  24.4905214714
0.4000345 323.691427596 22.268756319  4.33144940644e-17 --  25.1765294181
0.4000955 325.135145339 22.0596561128 4.19300907004e-17 --  25.5285299179
0.4001565 326.556417268 22.5241032781 5.12454743817e-17 --  25.1114239383
0.4002175 327.985200656 22.911778242  5.06727198442e-17 --  24.7945412908
0.4002785 329.420827071 22.995405215  5.3019547914e-17  --  24.8125051167
0.4003395 330.863686261 23.0721393032 4.80490099651e-17 --  24.8382998842
0.4004005 332.313106698 23.1417063677 5.54163207758e-17 --  24.8721151188
0.4004615 333.779887237 22.8248918971 4.90197140164e-17 --  25.3286510993
0.4005225 335.281980833 22.5703495036 4.81882691333e-17 --  25.729571692
0.4005835 336.819426354 22.4285764445 5.04271787525e-17 --  26.0109401444
0.4006445 338.38117408  22.8892008812 4.3815029953e-17  --  25.605672687
0.4007055 339.94871364  23.4883144545 5.04700405237e-17 --  25.068143784
0.4007665 341.521406474 23.3757427183 4.264580267e-17 --  25.3053960686
0.4008275 343.099105908 23.3941475523 4.88732228809e-17 --  25.4022969692
0.4008885 344.681228024 23.5722334038 4.9115069837e-17  --  25.3266370278
0.4009495 346.258278997 23.5340416851 4.81810919304e-17 --  25.4838051104
0.4010105 347.78435943  23.4930834177 4.90958600276e-17 --  25.6407458272
0.4010715 349.259293118 23.6874201451 5.18638413657e-17 --  25.5382324031
0.4011325 350.692881513 23.75604264 4.62241537893e-17 --  25.568984609
0.4011935 352.130737457 23.7156327346 4.71304007915e-17 --  25.7175650764
0.4012545 353.573111588 23.5643531094 5.01786857831e-17 --  25.9886868363
0.4013155 355.019709114 23.5400945234 5.2459225665e-17  --  26.1219075931
0.4013765 356.470154266 23.9280321338 5.91575948749e-17 --  25.8033930713
0.4014375 357.924320762 23.9035727502 4.58419506951e-17 --  25.9351652284
0.4014985 359.256334105 23.6166158215 4.93015159759e-17 --  26.3479843308
0.4015595 360.462428563 23.8063044632 4.87990533804e-17 --  26.225794157
0.4016205 361.541908092 23.8460583522 4.94197874186e-17 --  26.2604806477
0.4016815 362.619741539 23.5693290778 5.11720465657e-17 --  26.6480142094
0.4017425 363.698866783 23.463735427  4.87679569979e-17 --  26.8475971306
0.4018035 364.779106752 23.4699420613 4.60853245569e-17 --  26.920217561
0.4018645 365.860228668 24.0619538304 4.83907209871e-17 --  26.3357044481
0.4019255 366.942243565 24.2864705131 5.67096512397e-17 --  26.1694102054
0.4019865 367.876603913 24.0072621887 4.79773813415e-17 --  26.5411759111
0.4020475 368.620932642 24.0175429646 4.81090863081e-17 --  26.5834929497
0.4021085 369.174532732 24.0674874783 5.31261433097e-17 --  26.5681678708
0.4021695 369.685510663 23.8642851116 5.07786566741e-17 --  26.8314799415
0.4022305 370.195565536 23.7614506317 5.17916680817e-17 --  26.9847804406
0.4022915 370.704514075 23.7605852427 4.68147009257e-17 --  27.0228635539
0.4023525 371.21196242  23.8980690687 5.14628657727e-17 --  26.904181147
0.4024135 371.717496041 24.0096514236 5.38318791848e-17 --  26.8156158474
0.4024745 372.074412146 23.9498279218 4.98814128655e-17 --  26.9084098699
0.4025355 372.176553873 23.9709234798 4.98940715266e-17 --  26.8921095692
0.4025965 372.022776479 24.0486025968 5.18579867584e-17 --  26.7941701744
0.4026575 371.758394036 23.9298641579 5.04516683325e-17 --  26.9079850333
0.4027185 371.487931548 23.9112541285 5.33114396936e-17 --  26.9093360132
0.4027795 371.210977269 24.1503928818 5.78897635183e-17 --  26.6230150419
0.4028405 370.927260778 24.2669100028 4.74212810408e-17 --  26.4749348601
0.4029015 370.636641753 24.3008854138 5.27568799258e-17 --  26.4172059467
0.4029625 370.277837805 23.4786478873 4.68119419791e-17 --  27.3158842483
0.4030235 369.752718348 23.0433406878 5.0972126351e-17  --  27.7924326639
0.4030845 369.060623178 23.2677613516 4.99943049131e-17 --  27.472851417
0.4031455 368.262029022 23.5422705458 5.15959107716e-17 --  27.0937564635
0.4032065 367.454699385 23.7736695828 4.73440738669e-17 --  26.7712229532
0.4032675 366.639499673 23.5081065223 4.89126194941e-17 --  27.0135853304
0.4033285 365.817186049 23.5918035766 5.62406896704e-17 --  26.8573765656
0.4033895 364.988165551 24.0706479111 5.6001722283e-17  --  26.2634412347
0.4034505 364.184023151 24.0545280159 4.87300922915e-17 --  26.223138986
0.4035115 363.540002573 23.9858653981 4.76290044827e-17 --  26.2517005157
0.4035725 363.05618738  24.1227555178 4.61841709837e-17 --  26.0679905362
0.4036335 362.701724026 24.1708791874 4.76865600809e-17 --  25.9906894215
0.4036945 362.343818739 24.1443748998 5.04469913704e-17 --  25.9935453484
0.4037555 361.98404573  24.2172548269 4.51360076632e-17 --  25.8895883623
0.4038165 361.623431264 24.1478811187 4.38242377987e-17 --  25.9381000378
0.4038775 361.262734655 23.6613637668 5.01326794818e-17 --  26.4450273227
0.4039385 360.902725618 23.5828845753 5.09034144999e-17 --  26.506590208
0.4039995 360.918875451 23.7547866099 4.62182240212e-17 --  26.3159522314
