red,,blue,
X,Y,X,Y
5340.420481519159,0.009175724152701292,3238.2841641234318,0.2191532366011657
5413.05527297389,0.061037639877923766,3310.9189555781622,0.4712346736627886
5451.508986096982,0.2634256036836753,3367.6500508647,0.5768458531884129
5464.326890471346,0.49111206296514354,3370.7358426585283,0.5164105584408603
5470.735842658529,0.6555522835573164,3439.0979993218043,0.702354500187397
5475.008477449983,0.8073432564116274,3503.187521193625,0.908537238314505
5479.281112241439,1.009731220217379,3528.8233299423537,1.0476789634309576
5483.553747032893,1.3133131659260044,3535.2322821295356,1.2121191840231305
5487.826381824348,1.6421936071103502,3545.9138691081725,1.2374176794988472
5492.099016615803,2.0469695347218497,3556.5954560868095,1.060328211168816
5496.371651407257,2.502342453284786,3563.0044082739914,0.9970819724795206
5500.644286198712,3.0083123627991633,3600.542556798915,0.9049231675322602
5504.916920990167,3.6154762542164143,3580.0949474398103,0.6935000267708951
5509.189555781621,4.425028109439417,3592.9128518141742,0.8705894951009263
5513.462190573076,5.462266423943888,3603.594438792811,0.9338357337902217
5517.7348253645305,6.600698720351236,3633.502882332994,1.051895379343577
5522.007460155985,7.764429512234301,3644.184469311631,1.2121191840231305
5526.28009494744,9.054652781495957,3696.3716514072566,1.4253493601756162
5530.552729738894,10.167786582427585,3665.120379789759,1.667492102586067
5534.82536453035,11.179726401456339,3674.092912851814,1.7054398457996456
5539.097999321804,11.888084274776464,3686.9108172261786,1.4271563955667403
5543.370634113259,12.874725598329498,3721.0918955578163,1.1488729453338316
5547.643268904714,13.330098516892436,3727.5008477449983,1.009731220217379
5551.915903696168,13.658978958076782,3738.182434723635,0.908537238314505
5556.188538487623,13.709575949028219,3751.000339097999,1.110925202120253
5564.733808070532,13.751740108154417,3759.545608680909,1.2753654227124258
5573.279077653442,13.911963912833968,3765.954560868091,1.4398056433045987
5577.551712444897,14.215545858542594,3770.227195659546,1.718089093537504
5581.824347236352,14.54442629972694,3776.636147846728,1.9710740482946925
5586.096982027806,14.721515768056971,3787.317734825365,1.9204770573432555
5590.369616819261,14.898605236387002,3795.863004408274,1.768686084488941
5594.642251610716,15.328679659474222,3804.4082739911837,1.6042458638967716
5598.91488640217,16.821290892541633,3804.4082739911837,1.5915966161589097
5603.187521193626,18.541588584890512,3837.16514072567,1.4988354660812746
5607.46015598508,19.072856989880606,3827.9077653441846,1.3386116614017212
5611.732790776535,19.83181185415217,3827.9077653441846,1.0729774589066743
5616.00542556799,19.958304331530762,3842.8619871142764,1.4145071478288784
5622.414377755172,19.983602827006482,3866.3614784672773,1.4566713069550765
5628.823329942354,19.933005836055045,3881.3157002373687,1.566298120683193
5633.095964733809,20.38837875461798,3887.724652424551,1.6548428548482086
5637.368599525264,20.413677250093702,3913.360461173279,1.768686084488941
5654.4591386910815,20.337781763666545,3898.4062394031876,1.9204770573432555
5650.1865038996275,20.363080259142265,3916.920990166158,2.0385367028966073
5654.4591386910815,20.26188627723939,3918.34520176331,2.122865021149007
5658.731773482537,20.287184772715108,3945.4052221091897,2.1987605075761607
5671.549677856901,20.363080259142265,3932.587317734826,1.8445815709160982
5675.822312648355,20.742557691278048,3949.6778569006447,2.2493574985276013
5684.367582231265,20.742557691278048,3966.7683960664635,2.173462012100444
5697.185486605629,20.413677250093702,3971.041030857918,2.4517454623333492
5710.003390979993,20.26188627723939,3975.3136656493725,3.0589093537506002
5710.003390979993,19.983602827006482,3979.5863004408275,3.5395807677892606
5718.548660562903,20.64136370937517,3983.8589352322824,3.868461208973603
5722.821295354358,20.843751673180922,3988.131570023737,3.94435669540076
5727.093930145813,21.020841141510953,3992.4042048151914,4.247938641109386
5731.366564937267,21.24852760079242,4018.04001356392,4.273237136585106
5751.305527297389,21.341288750870056,4000.9494743981013,4.450326604915137
5746.320786707359,21.412967821384594,4037.978975924042,4.618983241419926
5778.365547643269,21.020841141510953,4036.5547643268906,4.829804037050916
5795.456086809088,21.172632114365268,4013.7673787724652,4.981595009905231
5799.7287216005425,21.375020078171016,4022.312648355375,4.981595009905231
5804.001356391998,21.653303528403924,4022.312648355375,4.981595009905231
5808.273991183452,21.855691492209672,4030.857917938284,4.703311559672326
5812.546625974907,21.93158697863683,4035.130552729739,4.425028109439417
5836.046117327908,22.096027199229002,4058.63004408274,4.829804037050916
5836.046117327908,22.17192268565616,4069.311631061377,4.8045055415752
5836.046117327908,22.201437597044496,4073.584265852832,5.259878460138136
5859.545608680909,21.95688547411255,4077.8569006442863,5.310475451089577
5863.818243472364,21.602706537452484,4082.1295354357408,5.867042351555391
5868.090878263818,21.07143813246239,4106.3411325873185,6.212788456390211
5872.363513055274,20.363080259142265,4112.7500847745,6.2844675269047485
5876.636147846728,20.337781763666545,4105.629026788742,6.05678106762328
5880.908782638183,19.477632917492105,4112.0379789759245,6.094728810836859
5885.181417429638,18.76927504417198,4137.673787724652,5.942937837982544
5889.454052221092,18.16211115275473,4144.082739911835,5.84174385607967
5893.726687012548,17.5802457568132,4150.491692099016,6.195922792739733
5897.999321804002,17.75733522514323,4154.764326890471,6.448907747496921
5902.271956595457,18.01032017990042,4163.309596473381,6.448907747496921
5906.544591386912,18.642782566793386,4176.127500847745,6.170624297264016
5910.817226178366,19.37643893558923,4186.809087826382,6.360363013331906
5915.089860969821,20.05949831343364,4203.899626992201,6.2844675269047485
5919.362495761276,20.69196070032661,4218.853848762293,5.993534828933981
