#
#Tue Sep 10 14:21:19 EDT 2019
#
#SAO Exposure Time Calculator : v0.5
#
#transmiss /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/cptrans_zm_43_10.txt
#instmode  /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/HECTOSPEC_270.tab
#objspec   /var/www/kurtz/mmtetc/cgi/TEST/ETC/Spectra/Stars/K0V.tab
#skybkgd   /var/www/kurtz/mmtetc/cgi/TEST/ETC/Bkgd/skybkgd.tab
#redshift  0.0
#abmag     19.8
#srcext    0.0
#seeing    0.75
#exptime   3600.0
#smscale   1.0
#aptype    Square
#apwidth   1.5
#apheight  1.0
#transcut  0.0
#rand      yes
#bandfilter   /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/g_filt.mag
#moonage      0.0
#airmass      1.1
#
#Wave  Spec  Noise Flux  FluxMask  SNR
#----  ----  ----- ----  --------  ---
0.40254 644.431443764 31.4358567755 4.96776327374e-17 --  45.8391360345
0.40266 643.061025866 31.3558083289 5.27424206112e-17 --  45.8584308347
0.40278 641.117604075 31.5977709284 5.35193280065e-17 --  45.3697366036
0.4029  638.506398646 31.7598975819 5.21234552081e-17 --  44.9542920521
0.40302 635.569229601 30.2206016578 4.67403752378e-17 --  47.0267275909
0.40314 632.305264966 30.7636987355 5.50033266532e-17 --  45.9592836073
0.40326 628.713671739 30.768285948  5.11276112711e-17 --  45.6914145548
0.40338 625.178869933 31.2758327477 4.74770707424e-17 --  44.6972095849
0.4035  621.963679239 31.2115816047 5.35741407898e-17 --  44.5588783012
0.40362 619.069089036 31.4317812091 5.23865720476e-17 --  44.0407928727
0.40374 616.495598617 31.4237965461 5.37187162767e-17 --  43.8688579311
0.40386 614.858498393 30.9503712811 5.15279955411e-17 --  44.4216124732
0.40398 613.950899809 30.8222020428 5.30031787084e-17 --  44.540488863
0.4041  613.776873253 31.2099107861 4.7698833705e-17  --  43.9747111427
0.40422 614.338156537 31.8731443515 5.73693097416e-17 --  43.099038615
0.40434 615.840994443 31.3914462122 5.06313379975e-17 --  43.8674382058
0.40446 617.775480571 30.724589472  5.19405111146e-17 --  44.960339361
0.40458 620.01966116  30.1284775156 5.02123594271e-17 --  46.0164676102
0.4047  622.574312154 32.070618505  5.60932361099e-17 --  43.4079087937
0.40482 625.267178953 31.108452897  4.72246261692e-17 --  44.9440517299
0.40494 627.721340842 31.3809921012 4.88104196727e-17 --  44.7285918979
0.40506 629.834054243 31.7623331094 5.35890148303e-17 --  44.3403119973
0.40518 631.604452728 30.5433720405 4.99868866164e-17 --  46.2395078487
0.4053  632.844586932 30.9334469827 5.27964138891e-17 --  45.7460662681
