#
#Tue Sep 10 14:24:34 EDT 2019
#
#SAO Exposure Time Calculator : v0.5
#
#transmiss /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/cptrans_zm_43_10.txt
#instmode  /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/BINOSPEC_270.tab
#objspec   /var/www/kurtz/mmtetc/cgi/TEST/ETC/Spectra/Stars/K0V.tab
#skybkgd   /var/www/kurtz/mmtetc/cgi/TEST/ETC/Bkgd/skybkgd.tab
#redshift  0.0
#abmag     19.8
#srcext    0.0
#seeing    0.75
#exptime   3600.0
#smscale   1.0
#aptype    Square
#apwidth   1.0
#apheight  1.0
#transcut  0.0
#rand      yes
#bandfilter   /var/www/kurtz/mmtetc/cgi/TEST/ETC/EffArea/g_filt.mag
#moonage      0.0
#airmass      1.1
#
#Wave  Spec  Noise Flux  FluxMask  SNR
#----  ----  ----- ----  --------  ---
0.390065  825.734083198 35.4678830625 3.00911335862e-17 --  40.3241823911
0.390195  1247.74021399 41.7515582927 2.79691258997e-17 --  51.7621265806
0.390325  1266.03885085 41.1601538743 3.08281563581e-17 --  53.2758847481
0.390455  1284.39461044 42.2938333109 2.91396227742e-17 --  52.5995528921
0.390585  1302.80382901 41.9857087823 3.19563939321e-17 --  53.7450120431
0.390715  1321.26709853 43.8655965384 3.24342756755e-17 --  52.1707653748
0.390845  1339.78947852 43.3486301439 3.40701871429e-17 --  53.533028392
0.390975  1355.75559198 42.961784121  3.41430272534e-17 --  54.6587534946
0.391105  1368.53026692 43.7256699898 3.43821732508e-17 --  54.2098944294
0.391235  1378.1017743  48.7602235903 3.2490249574e-17  --  48.9526527019
0.391365  1387.07719315 49.2218313632 3.35667905303e-17 --  48.8094023732
0.391495  1388.50684852 42.4688669967 3.44967434184e-17 --  56.6288808337
0.391625  1382.05886187 42.989962841  3.55779009079e-17 --  55.6826758994
0.391755  1367.70388095 44.4366557608 3.23887102238e-17 --  53.3103261476
0.391885  1351.93171781 42.8974656659 3.27825349504e-17 --  54.5863115049
0.392015  1326.94485006 41.7925400093 3.31740559298e-17 --  54.9939271132
0.392145  1292.70942805 41.5520288953 2.91445476021e-17 --  53.8851764482
0.392275  1250.24500588 41.1273355078 2.95748354205e-17 --  52.6532498485
